Fecha,Gas87,Gas91,Diesel
2018-09-24,19.26,20.74,20.36
2018-09-25,19.27,20.75,20.37
2018-09-26,19.28,20.76,20.38
2018-09-27,19.3,20.78,20.4
2018-09-28,19.31,20.79,20.41
2018-09-29,19.32,20.81,20.43
2018-09-30,19.32,20.81,20.43
2018-10-01,19.33,20.82,20.44
2018-10-02,19.34,20.83,20.45
2018-10-03,19.35,20.85,20.47
2018-10-04,19.37,20.87,20.49
2018-10-05,19.39,20.88,20.51
2018-10-06,19.41,20.9,20.53
2018-10-07,19.41,20.9,20.53
2018-10-08,19.41,20.91,20.53
2018-10-09,19.43,20.92,20.55
2018-10-10,19.43,20.94,20.57
2018-10-11,19.44,20.95,20.59
2018-10-12,19.45,20.96,20.61
2018-10-13,19.45,20.96,20.62
2018-10-14,19.45,20.96,20.62
2018-10-15,19.45,20.97,20.62
2018-10-16,19.45,20.97,20.63
2018-10-17,19.45,20.97,20.63
2018-10-18,19.45,20.97,20.64
2018-10-19,19.45,20.97,20.65
2018-10-20,19.45,20.97,20.65
2018-10-21,19.45,20.97,20.66
2018-10-22,19.45,20.97,20.66
2018-10-23,19.45,20.97,20.67
2018-10-24,19.46,20.97,20.68
2018-10-25,19.46,20.98,20.69
2018-10-26,19.45,20.98,20.69
2018-10-27,19.45,20.97,20.7
2018-10-28,19.45,20.97,20.7
2018-10-29,19.45,20.97,20.71
2018-10-30,19.45,20.97,20.72
2018-10-31,19.45,20.97,20.73
2018-11-01,19.45,20.98,20.75
2018-11-02,19.46,20.98,20.76
2018-11-03,19.46,20.98,20.76
2018-11-04,19.46,20.98,20.76
2018-11-05,19.45,20.98,20.77
2018-11-06,19.45,20.98,20.77
2018-11-07,19.45,20.97,20.77
2018-11-08,19.45,20.97,20.78
2018-11-09,19.45,20.97,20.78
2018-11-10,19.45,20.97,20.78
2018-11-11,19.45,20.97,20.79
2018-11-12,19.44,20.97,20.79
2018-11-13,19.44,20.96,20.79
2018-11-14,19.43,20.96,20.8
2018-11-15,19.43,20.96,20.8
2018-11-16,19.4,20.94,20.79
2018-11-17,19.4,20.93,20.79
2018-11-18,19.4,20.93,20.79
2018-11-19,19.39,20.93,20.79
2018-11-20,19.4,20.94,20.79
2018-11-21,19.38,20.94,20.79
2018-11-22,19.37,20.93,20.79
2018-11-23,19.36,20.92,20.79
2018-11-24,19.35,20.91,20.79
2018-11-25,19.35,20.91,20.79
2018-11-26,19.35,20.91,20.79
2018-11-27,19.34,20.9,20.79
2018-11-28,19.33,20.89,20.78
2018-11-29,19.32,20.88,20.78
2018-11-30,19.31,20.87,20.77
2018-12-01,19.29,20.86,20.77
2018-12-02,19.28,20.85,20.76
2018-12-03,19.27,20.84,20.75
2018-12-04,19.25,20.82,20.74
2018-12-05,19.24,20.81,20.73
2018-12-06,19.23,20.8,20.72
2018-12-07,19.22,20.78,20.71
2018-12-08,19.2,20.76,20.71
2018-12-09,19.19,20.76,20.7
2018-12-10,19.19,20.75,20.7
2018-12-11,19.17,20.73,20.69
2018-12-12,19.15,20.71,20.68
2018-12-13,19.13,20.7,20.67
2018-12-14,19.12,20.67,20.67
2018-12-15,19.11,20.66,20.66
2018-12-16,19.1,20.66,20.66
2018-12-17,19.1,20.65,20.66
2018-12-18,19.09,20.64,20.66
2018-12-19,19.08,20.62,20.65
2018-12-20,19.06,20.6,20.64
2018-12-21,19.04,20.57,20.63
2018-12-22,19.02,20.55,20.62
2018-12-23,19.02,20.54,20.62
2018-12-24,19.01,20.53,20.61
2018-12-25,18.99,20.52,20.61
2018-12-26,18.98,20.51,20.6
2018-12-27,18.96,20.48,20.59
2018-12-28,18.94,20.46,20.58
2018-12-29,18.93,20.45,20.58
2018-12-30,18.93,20.44,20.57
2018-12-31,18.92,20.44,20.57
2019-01-01,18.87,20.38,20.52
2019-01-02,18.85,20.36,20.5
2019-01-03,18.83,20.34,20.49
2019-01-04,18.82,20.32,20.49
